Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
28962996,Six Wakes,Mur Lafferty,"Lafferty, Mur",,"=""0316389684""","=""9780316389686""",0,3.84,Orbit,Paperback,364,2017,2017,,2020/10/21,to-read,to-read (#282),to-read,,,,0,,,0,,,,,
21936809,The Kind Worth Killing,Peter  Swanson,"Swanson, Peter",,"=""0062267523""","=""9780062267528""",0,4.03,William Morrow,Hardcover,311,2015,2015,,2020/10/21,to-read,to-read (#281),to-read,,,,0,,,0,,,,,
341735,Replay,Ken Grimwood,"Grimwood, Ken",,"=""068816112X""","=""9780688161125""",0,4.15,William Morrow Paperbacks,Paperback,311,1998,1987,,2020/10/21,to-read,to-read (#280),to-read,,,,0,,,0,,,,,
40275288,The Priory of the Orange Tree,Samantha Shannon,"Shannon, Samantha",,"=""""","=""""",0,4.16,Bloomsbury Publishing,Kindle Edition,848,2019,2019,,2020/10/21,to-read,to-read (#279),to-read,,,,0,,,0,,,,,
38458462,Bastard,Max de Radiguès,"Radiguès, Max de",,"=""1683961307""","=""9781683961307""",0,3.78,Fantagraphics,Paperback,192,2018,2017,,2020/10/21,to-read,to-read (#278),to-read,,,,0,,,0,,,,,
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""0345539788""","=""9780345539786""",0,4.24,Del Rey (Random House),Hardcover,382,2014,2014,,2020/10/21,to-read,to-read (#277),to-read,,,,0,,,0,,,,,
32505753,"Ash Princess (Ash Princess Trilogy, #1)",Laura Sebastian,"Sebastian, Laura",,"=""1524767069""","=""9781524767068""",0,3.92,Delacorte Books for Young Readers,Hardcover,432,2018,2018,,2020/10/21,to-read,to-read (#276),to-read,,,,0,,,0,,,,,
25036395,"The Queen of Blood  (The Queens of Renthia, #1)",Sarah Beth Durst,"Durst, Sarah Beth",,"=""""","=""""",0,3.89,Harper Voyager,Kindle Edition,368,2016,2016,,2020/10/21,to-read,to-read (#275),to-read,,,,0,,,0,,,,,
22443261,"The Rithmatist (The Rithmatist, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,4.21,Tor UK,Kindle Edition,353,2014,2013,,2020/10/21,to-read,to-read (#274),to-read,,,,0,,,0,,,,,
17182126,"Steelheart (The Reckoners, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0385743564""","=""9780385743563""",0,4.13,Delacorte Press,Hardcover,386,2013,2013,,2020/10/21,to-read,to-read (#273),to-read,,,,0,,,0,,,,,
41952489,"The Rage of Dragons (The Burning, #1)",Evan Winter,"Winter, Evan",,"=""031648976X""","=""9780316489768""",0,4.37,Orbit,Hardcover,544,2019,2019,,2020/10/21,to-read,to-read (#272),to-read,,,,0,,,0,,,,,
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",0,4.62,Tor Books,Hardcover,1007,2010,2010,,2020/10/21,to-read,to-read (#271),to-read,,,,0,,,0,,,,,
68428,"The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""076531178X""","=""9780765311788""",0,4.44,Tor Books,Hardcover,544,2006,2006,,2020/10/21,to-read,to-read (#270),to-read,,,,0,,,0,,,,,
1268479,"Warbreaker (Warbreaker, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,4.26,Self-published,ebook,688,2009,2009,,2020/10/21,to-read,to-read (#269),to-read,,,,0,,,0,,,,,
43204703,"A Curse So Dark and Lonely (Cursebreakers, #1)",Brigid Kemmerer,"Kemmerer, Brigid",,"=""1681195089""","=""9781681195087""",0,4.14,Bloomsbury YA,Hardcover,484,2019,2019,,2020/10/21,to-read,to-read (#268),to-read,,,,0,,,0,,,,,
44599364,Albatross,Terry Fallis,"Fallis, Terry",,"=""0771050968""","=""9780771050961""",0,3.70,McClelland & Stewart,Paperback,400,2019,2019,,2020/10/21,to-read,to-read (#267),to-read,,,,0,,,0,,,,,
35968969,The Hogwarts Library Collection (Hogwarts Library book),J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.45,Pottermore from J.K. Rowling,Kindle Edition,105,2017,2012,,2020/10/18,to-read,to-read (#266),to-read,,,,0,,,0,,,,,
18293427,The Storied Life of A.J. Fikry,Gabrielle Zevin,"Zevin, Gabrielle",,"=""1616203218""","=""9781616203214""",0,3.99,Algonquin Books,Hardcover,260,2014,2014,,2020/10/17,to-read,to-read (#265),to-read,,,,0,,,0,,,,,
25480342,A Monster Calls,Patrick Ness,"Ness, Patrick",,"=""1406361801""","=""9781406361803""",0,4.33,Walker Books,Paperback,237,2015,2011,,2020/10/17,to-read,to-read (#264),to-read,,,,0,,,0,,,,,
10929432,"The Archived (The Archived, #1)",Victoria Schwab,"Schwab, Victoria",,"=""1423157311""","=""9781423157311""",0,3.96,Hyperion,Hardcover,327,2013,2013,,2020/10/17,to-read,to-read (#263),to-read,,,,0,,,0,,,,,
39353738,"Skyward (Skyward, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.52,Delacorte Press,Kindle Edition,546,2018,2018,2020/10/17,2020/09/22,,,read,,,,1,,,0,,,,,
